screen_name,profile_image_url,location,created_time,text
塔塔塔罗斯,"https://tvax2.sinaimg.cn/crop.0.0.552.552.50/008t3A0uly8h1yjb3c43hj30fc0fcdgx.jpg?KID=imgbed,tva&Expires=1729616871&ssig=DQWxbHsg6J",其他,Sat Sep 14 13:42:02  2024,说白了，就是动物蛋白导致的。
Chul-青,"https://tvax1.sinaimg.cn/crop.0.0.996.996.50/9f8cdbfely8g7mffz90smj20ro0rojty.jpg?KID=imgbed,tva&Expires=1729616871&ssig=1VOLQd53lH",广东 汕头,Sat Sep 14 13:12:31  2024,就是懂得太晚，孩子四周岁总算是戒掉了，有奶瘾，总吵着喊着要喝，每天只让他喝得很少，搞点汤汤水水替代了。慢慢戒掉了
醉酒观星辰,"https://tvax3.sinaimg.cn/crop.0.0.1080.1080.50/006BCo7Tly8gh18m9ugy2j30u00u0gps.jpg?KID=imgbed,tva&Expires=1729616871&ssig=MLk7bSX%2BrP",其他,Fri Sep 13 13:58:29  2024,生长激素是否对人体有没有不可逆的伤害还未知，促进发育定会加速衰老
中医妇儿林波,"https://tvax1.sinaimg.cn/crop.0.0.502.502.50/877e4e8cly8hawbgpi7j7j20dy0dyjrx.jpg?KID=imgbed,tva&Expires=1729616871&ssig=XayYo8OQxG",浙江,Fri Sep 13 13:13:09  2024,添加剂也有功劳[允悲][允悲][允悲]//@华夏永续OK56:学校天天不是酸奶就是牛奶，加面包，蛋糕饼干类的小零食，女生普遍五六年级就来月经了[允悲]
华夏永续OK56,"https://tvax1.sinaimg.cn/default/images/default_avatar_male_50.gif?KID=imgbed,tva&Expires=1729616871&ssig=YZPTBb%2Fmel",北京,Fri Sep 13 13:04:42  2024,学校天天不是酸奶就是牛奶，加面包，蛋糕饼干类的小零食，女生普遍五六年级就来月经了[允悲]
中医妇儿林波,"https://tvax1.sinaimg.cn/crop.0.0.502.502.50/877e4e8cly8hawbgpi7j7j20dy0dyjrx.jpg?KID=imgbed,tva&Expires=1729616871&ssig=XayYo8OQxG",浙江,Fri Sep 13 11:45:18  2024,有啥想不通的，把“钱”带入进去就想明白了。//@我心赤焰:牛奶的盛行，离不开资本家和西医的大力宣传。
我心赤焰,"https://tva1.sinaimg.cn/crop.0.0.664.664.50/631138f9jw8fbdb7vvdwrj20ig0igjt6.jpg?KID=imgbed,tva&Expires=1729616871&ssig=lrg%2BYL8st8",上海 长宁区,Fri Sep 13 11:15:52  2024,牛奶的盛行，离不开资本家和西医的大力宣传。
用户7942956749202409,"https://tvax1.sinaimg.cn/default/images/default_avatar_male_50.gif?KID=imgbed,tva&Expires=1729616871&ssig=YZPTBb%2Fmel",北京,Fri Sep 13 10:47:23  2024,转发微博
紫琳786,"https://tvax1.sinaimg.cn/crop.0.0.512.512.50/007HJqocly8g1ne9u28gsj30e80e80sy.jpg?KID=imgbed,tva&Expires=1729616871&ssig=lr238mLgW8",北京,Fri Sep 13 08:53:32  2024,一个博主问粉丝自己的孩子是吃母乳还是牛奶，她打算满月给自己孩子断奶，我就留言了自己喂一年的母乳，奶粉再好都不及母乳，结果一群极端的人来骂我，我也说累了，想着孩子的很多健康问题都和喝奶粉，牛奶有关，自己还不知道
芸香油圃,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/006N4gd4ly8ht085xh8zjj30u00u0afd.jpg?KID=imgbed,tva&Expires=1729616871&ssig=4VPPyF2eOW",其他,Fri Sep 13 08:24:26  2024,母乳不够不吃奶粉怎么办？[允悲]
中医妇儿林波,"https://tvax1.sinaimg.cn/crop.0.0.502.502.50/877e4e8cly8hawbgpi7j7j20dy0dyjrx.jpg?KID=imgbed,tva&Expires=1729616871&ssig=XayYo8OQxG",浙江,Fri Sep 13 07:26:28  2024,奶粉是什么的固体？又什么时候变成液体？奶粉的液体叫什么？[笑cry][笑cry]//@王禹王路:奶粉呢？
王禹王路,"https://tvax4.sinaimg.cn/crop.0.0.300.300.50/95d16d8aly8hpd7qbplwgj208c08c0sw.jpg?KID=imgbed,tva&Expires=1729616871&ssig=ewqZuVNXpk",其他,Fri Sep 13 06:46:32  2024,奶粉呢？
周天寒彻A,"https://tva3.sinaimg.cn/crop.303.37.564.564.50/68b5844btw1eaa88lpnhsj20q40hfafw.jpg?KID=imgbed,tva&Expires=1729616871&ssig=ES6ppT%2BwqS",山东,Fri Sep 13 05:03:03  2024,转发微博
星空94638,"https://tvax1.sinaimg.cn/crop.0.0.656.656.50/005SYSuIly8g4axplrk71j30i80i8q4k.jpg?KID=imgbed,tva&Expires=1729616871&ssig=Jth6KKcWft",其他,Thu Sep 12 22:16:27  2024,亲戚家小孩一天几瓶牛奶，肥胖，然后现在支气管肺炎引起哮喘[允悲][允悲]
君君是我__,"https://tvax3.sinaimg.cn/crop.0.0.512.512.50/0065botbly8hsqy06wzf4j30e80e8dg2.jpg?KID=imgbed,tva&Expires=1729616871&ssig=QcY%2BzXu9WK",其他,Thu Sep 12 22:14:07  2024,现在学校恨不得一天给孩子喝两次牛奶，早餐，下午点
熵小小,"https://tvax3.sinaimg.cn/crop.0.0.1006.1006.50/007XtBREly8gakk42b244j30ry0ry78m.jpg?KID=imgbed,tva&Expires=1729616871&ssig=i2yTGrTgyd",其他,Thu Sep 12 20:54:07  2024,家門的嬸子骨折了，昆山的西毉都不讓喝牛奶。[偷乐]
清肝解郁,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/76ffc2d0ly8gi4m80eiq2j20u00u0jvb.jpg?KID=imgbed,tva&Expires=1729616871&ssig=3LxNmUkEtu",其他,Thu Sep 12 20:42:42  2024,林医生做这件事太正确了，不能让牛奶毒害儿童，未来男丁还要保家卫国，所以身体健康很重要。
WMWMWhat,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.50/77b46e21ly8hmflvrkwqyj20u00u0dj3.jpg?KID=imgbed,tva&Expires=1729616872&ssig=QqcpdwkjOL",湖北,Fri Aug 09 15:44:44  2024,山姆鲜牛奶就可以[奥特曼][奥特曼][奥特曼]
大海都是水ww,"https://tvax4.sinaimg.cn/crop.0.0.996.996.50/006SGX2uly8g992h8auerj30ro0romyj.jpg?KID=imgbed,tva&Expires=1729616872&ssig=6vGTXfZ%2B3M",其他,Sun Aug 04 18:20:40  2024,我觉得超市冷藏区里10块多一盒，950ml的鲜牛奶就很不错，伊利光明之类的品牌都可，买1.5升的更划算
堃12138,"https://tvax2.sinaimg.cn/crop.0.0.960.960.50/5647892ely8hpc3l1wwfrj20qo0qomza.jpg?KID=imgbed,tva&Expires=1729616872&ssig=4%2BmlKvBdiH",天津,Sun Aug 04 16:53:38  2024,海河奶[good][good][good]好喝
